,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
97,Psycho,"Red Velvet",45908,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
98,"How You Like That",BLACKPINK,45316,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
99,"LATHI (with Sara Fajira)","Weird Genius",45039,https://open.spotify.com/track/06pezDUwqVsUfpBNw6uJir
100,"Kamu & Kenangan - Original Soundtrack Habibie & Ainun 3","Maudy Ayunda",44878,https://open.spotify.com/track/6dMXNAMr1dlAAUo53QKfqs
101,"Boy With Luv (feat. Halsey)",BTS,43559,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
102,"Say You Won't Let Go","James Arthur",43437,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
103,"Luka Yang Kurindu",Mahen,43303,https://open.spotify.com/track/5UgZoWvuycExNhZd6vIF7D
104,"Celengan Rindu","Fiersa Besari",42505,https://open.spotify.com/track/19JvKc2f3ZNblfBSDMDwUF
105,Adaptasi,Tulus,42236,https://open.spotify.com/track/0Ax3HeFnPVuHBtzc0AQ7zw
106,Dandelions,"Ruth B.",42143,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
107,Tolong,"Budi Doremi",42122,https://open.spotify.com/track/5X5Vj8FcxyoLzq9qxAa45U
108,"Bicara (feat. Monita Tahalea)",TheOvertunes,42096,https://open.spotify.com/track/1Dxb9nWV16f5PthsUsV1XZ
109,"Best Part (feat. Daniel Caesar)",H.E.R.,41836,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
110,Monokrom,Tulus,41806,https://open.spotify.com/track/4GfK1qOF3uBWidbPlTCQRL
111,"Selamat (Selamat Tinggal)",Virgoun,41644,https://open.spotify.com/track/1mruWrUwAVe2XkksUQiaHK
112,Selaras,"Kunto Aji",41601,https://open.spotify.com/track/61GiPHiUWi2f8mhN2AdBf0
113,"eight(Prod.&Feat. SUGA of BTS)",IU,41430,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
114,"Sedang Sayang Sayangnya","Mawar de Jongh",41410,https://open.spotify.com/track/10CbwBfusPvPWuzuTLeMdm
115,"10,000 Hours (with Justin Bieber)","Dan + Shay",41402,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
116,comethru,"Jeremy Zucker",41354,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
117,"Mad at Disney","salem ilese",41276,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
118,"Untuk Perempuan Yang Sedang Di Pelukan","Payung Teduh",41047,https://open.spotify.com/track/0urpBLpcm6DOGzs86rcKd8
119,Dan...,"Sheila On 7",41013,https://open.spotify.com/track/1MdjZzEInrmDBXf8zs0nKS
120,"What You Know Bout Love","Pop Smoke",40916,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
121,"We're Good","Dua Lipa",40378,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
122,"Line Without a Hook","Ricky Montgomery",40353,https://open.spotify.com/track/5NvOZCjZaGGGL597exlQWv
123,"Day & Night","Jung Seung Hwan",40319,https://open.spotify.com/track/1j5oDtBWVtNoVHMi2n6Fkz
124,"Girl In The Mirror","Sophia Grace",40205,https://open.spotify.com/track/0oXMw64TD8wYk1vSwNNKaO
125,"Bad Liar","Imagine Dragons",40149,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
126,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",39874,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
127,April,"Fiersa Besari",39870,https://open.spotify.com/track/3IesVVqYxCsRCsz5OCmC7q
128,"Ice Cream (with Selena Gomez)",BLACKPINK,39680,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
129,"Rindu Dalam Hati","Arsy Widianto",39381,https://open.spotify.com/track/1DhJgI2oAsDeDVSD5TNPCF
130,"Kala Cinta Menggoda",Noah,39211,https://open.spotify.com/track/4bZzHFP9VFX7HsyPomDwuE
131,Kangen,"Dewa 19",39069,https://open.spotify.com/track/5LqanqJSmZwbwPtIi2RwTb
132,"Intentions (feat. Quavo)","Justin Bieber",38842,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
133,Fine,TAEYEON,38754,https://open.spotify.com/track/6CdUgvL597jWmW4w8P5kHs
134,"Fly Me to the Moon","The Macarons Project",38579,https://open.spotify.com/track/0YBNpbrmpZdFRT0NFqii5C
135,"Fix You",Coldplay,38366,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q
136,"Di Persimpangan Dilema",Terry,38283,https://open.spotify.com/track/5PU8ZFAGNJeWYVBh8w5msX
137,Rumpang,"Nadin Amizah",37719,https://open.spotify.com/track/2TRGNVokPnC2a2oHg5iv1H
138,"Pretty Savage",BLACKPINK,37405,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
139,"Jangan Rubah Takdirku",Andmesh,37291,https://open.spotify.com/track/6MczIMSdoZyw8EBPhihazN
140,"Best Friend","Rex Orange County",36945,https://open.spotify.com/track/47Bg6IrMed1GPbxRgwH2aC
141,"Manusia Bodoh","Ada Band",36913,https://open.spotify.com/track/408TyH9YoTkH9J0Da9Ue8C
142,"Black Mamba",aespa,36687,https://open.spotify.com/track/1t2qYCAjUAoGfeFeoBlK51
143,"Langit Abu-Abu",Tulus,36609,https://open.spotify.com/track/2FaquTc3FYvNm7RuO1gD6O
144,"Hal Indah Butuh Waktu Untuk Datang",Idgitaf,36438,https://open.spotify.com/track/2k9ZZcEQVxoXd2OYr8iiQ8
145,Sorai,"Nadin Amizah",36317,https://open.spotify.com/track/3ymuBMTviroWLuf1jMsMVf
146,"Why Why Why",iKON,36268,https://open.spotify.com/track/0br4r9VlPdofrWXxPorlYd
147,"Blueberry Eyes (feat. Lil Mosey, SUGA of BTS & Olivia O'Brien)",MAX,36256,https://open.spotify.com/track/3v96wJDPSdTYWEOgssfipO
148,"Strawberries & Cigarettes","Troye Sivan",36230,https://open.spotify.com/track/3afkJSKX0EAMsJXTZnDXXJ
149,"Cinta Luar Biasa",Andmesh,36170,https://open.spotify.com/track/1JxoK0EU5SHupbXjSwYaN7
150,Halu,"Feby Putri",35906,https://open.spotify.com/track/3c4cBEObUsLU8O5I2yQP3l
151,Anyone,"Justin Bieber",35690,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
152,"Cintanya Aku","Tiara Andini",35522,https://open.spotify.com/track/53fKDMfQhWMSw7QKVDOTBP
153,"Tukar Jiwa",Tulus,35470,https://open.spotify.com/track/5VAGZmCKBxYT85w51gNy27
154,"I Like Me Better",Lauv,35448,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
155,Rayu,"Marion Jola",35365,https://open.spotify.com/track/4rAWADK2zYdjx2ar2Hp1C8
156,"Lebih Dari Egoku","Mawar de Jongh",35253,https://open.spotify.com/track/4vh193RZbEEBanSG0719Wh
157,Pelangi,Hivi!,35161,https://open.spotify.com/track/5BgZ1bi8xeWVxmg12RfWzv
158,"Just the Way You Are","Bruno Mars",34614,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
159,"Blueberry Eyes (feat. SUGA of BTS)",MAX,33993,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
160,"cigarettes of ours","Ardhito Pramono",33964,https://open.spotify.com/track/77SiKnkNEnRw0uoPE4wuEp
161,Mine,"Petra Sihombing",33756,https://open.spotify.com/track/6NkUP6IeLnH6Yaw2wcNHzO
162,"Make A Wish (Birthday Song)","NCT U",33657,https://open.spotify.com/track/6FdShjf7nA2cqEnpv1tIia
163,You,Ten2Five,33579,https://open.spotify.com/track/4ilwLEDlMXGEVmMAAEJavA
164,Membasuh,Hindia,33489,https://open.spotify.com/track/3CBxVM0zGj41BQtE6m7gwb
165,"Cinta Dan Rahasia","Yura Yunita",33470,https://open.spotify.com/track/4HXUMRdT6s6Am6YHcWmuib
166,"Not With Me","Bondan Prakoso",33437,https://open.spotify.com/track/3Jx6apzpRnf9MPmZv13LOj
167,Starlight,"CHA NI (SF9)",33271,https://open.spotify.com/track/7lV0M6ulaapTNZJzx8stw0
168,"One Only - Acoustic",Pamungkas,33195,https://open.spotify.com/track/71ck7QnubXzGGj3hE49dvk
169,"It's You","Ali Gatie",33097,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
170,Lara,"Dialog Senja",32902,https://open.spotify.com/track/1sGsoXJgOZ3wY3tveCUwWs
171,"Levitating (feat. DaBaby)","Dua Lipa",32846,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
172,"Aku Yang Salah",Elmatu,32746,https://open.spotify.com/track/07kS6GzBPkGUMmfgQUfMbE
173,"Kenangan Terindah",SAMSONS,32706,https://open.spotify.com/track/5TtmfZaNSYEcTR49cureT0
174,"gimme gimme","NCT 127",32622,https://open.spotify.com/track/6shrCEEMcrT6Akxkk8IhLC
175,Seandainya,Vierra,32545,https://open.spotify.com/track/4zDsTPzY7Nm7rYKvszjKYL
176,"Talking to the Moon","Bruno Mars",32365,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
177,Tanya,Dere,32258,https://open.spotify.com/track/7ACU6Hb2lOWax6zPFgfFy3
178,"Blinding Lights","The Weeknd",31869,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
179,"Indah Pada Waktunya","Rizky Febian",31835,https://open.spotify.com/track/1S5aHAr1hpf3icpzq3ullG
180,"Takkan Terganti",Marcell,31824,https://open.spotify.com/track/0T4t1PywlNmJGcveGH5spB
181,"Sedih Tak Berujung","Glenn Fredly",31793,https://open.spotify.com/track/6xMUMMK64AUpstGjlDvoNn
182,Januari,"Glenn Fredly",31777,https://open.spotify.com/track/3h3BXv7Iq5CTTiN9CHgkNe
183,Remaja,Hivi!,31741,https://open.spotify.com/track/1SaQZoFXNu7ZAxxKImzFgf
184,"Serta Mulia","Sal Priadi",31739,https://open.spotify.com/track/1CVUWAC845LKEDHH0l8XG2
185,"Holy (feat. Chance The Rapper)","Justin Bieber",31730,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
186,"To the Bone",Pamungkas,31662,https://open.spotify.com/track/1XU0PmUY3oqFovtDbjzQJr
187,"lovely (with Khalid)","Billie Eilish",31630,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
188,"Sekali Ini Saja","Glenn Fredly",31540,https://open.spotify.com/track/1GmIlN8URkjZxtV99zKlBk
189,"When You Love Someone","Endah N Rhesa",31535,https://open.spotify.com/track/2XWsariqeTCH61B53r8yA3
190,"Fana Merah Jambu",Fourtwnty,31414,https://open.spotify.com/track/463XKKFCPlcrhtlwGbEovu
191,"Too Good At Goodbyes","Sam Smith",31267,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
192,"Pilu Membiru","Kunto Aji",31100,https://open.spotify.com/track/6A5tlFsbty5iJkSqMFWNFs
193,"It Will Rain","Bruno Mars",31097,https://open.spotify.com/track/4rMNgxEwGWoPHIUcvB5BrB
194,"I CAN'T STOP ME",TWICE,30962,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
195,"Jikalau Kau Cinta",Judika,30944,https://open.spotify.com/track/29gdEEyeHC9ypmvQkohY4N
196,"You Are The Reason","Calum Scott",30917,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
197,"death bed (coffee for your head)",Powfu,30711,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
198,Pamit,Tulus,30435,https://open.spotify.com/track/3B4VP6swG49n3scg2aMfA6
199,Perlahan,"Guyon Waton",30355,https://open.spotify.com/track/01TdkJ0lorIzBsdks8X1Tb
200,"Ruang Rindu",Letto,30305,https://open.spotify.com/track/3sZh17vjbQknQoC8z3y8zR
